SMILES,reward
C1=C2SC=NC2=CC2=C1N=CS2(B(C1=C(C=C(C=C1C)C)C)C1=C(C=C(C=C1C)C)C),4.907730673316708
C1=C2SC=NC2=CC2=C1N=CS2(B(C1=C(C=C(C=C1C)C)C)C1=C(C=C(C=C1C(C1C2=C(C3=C1C=CC=C3)C=CC=C2))C)C),3.0819153146022953
C1(N(C2=CC=CC=C2)C2=CC=CC=C2)=CC=CS1,9.685352195500897
C1(N(C2=CC=CC=C2)C2=CC=CC=C2)=CC=CS1,-1.0
C1(N(C2=CC=CC=C2)C2=CC=CC=C2)=CC=CS1,-1.0
C1(N(C2=CC=CC=C2)C2=CC=CC=C2)=CC=CS1,-1.0
C1(N(C2=CC=CC=C2)C2=CC=CC=C2)=CC=CS1,-1.0
C1(N(C2=CC=CC=C2)C2=CC=CC=C2)=CC=CS1,-1.0
C1(N(C2=CC=CC=C2)C2=CC=CC=C2)=CC=CS1,-1.0
C1(N(C2=CC=CC=C2)C2=CC=CC=C2)=CC=CS1,-1.0
C1(N(C2=CC=CC=C2)C2=CC=CC=C2)=CC=CS1,-1.0
C1(N(C2=CC=CC=C2)C2=CC=CC=C2)=CC=CS1,-1.0
C1(N(C2=CC=CC=C2)C2=CC=CC=C2)=CC=CS1,-1.0
C1(N(C2=CC=CC=C2)C2=CC=CC=C2)=CC=CS1,-1.0
C1(N(C2=CC=CC=C2)C2=CC=CC=C2)=CC=CS1,-1.0
C1(N(C2=CC=CC=C2)C2=CC=CC=C2)=CC=CS1,-1.0
C1(N(C2=CC=CC=C2)C2=CC=CC=C2)=CC=CS1,-1.0
C1(N(C2=CC=CC=C2)C2=CC=CC=C2)=CC=CS1,-1.0
C1(N(C2=CC=CC=C2)C2=CC=CC=C2)=CC=C(C(C=C2)=CC=C2C=C2C(=C(C#N)C#N)C3=CC=CC=C3C2(=O))S1,11.578650967944393
C1(N(C2=CC=CC=C2(N(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2))C2=CC=CC=C2)=CC=C(C(C=C2)=CC=C2C=C2C(=C(C#N)C#N)C3=CC=CC=C3C2(=O))S1,5.682300989224506
C1(N(C2=CC=CC=C2(N(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2))C2=CC=CC=C2)=CC=C(C(C=C2)=CC=C2C=C2C(=C(C#N)C#N)C3=CC=CC=C3C2(=O))S1,-1.0
S(C1=CC=C2C=CC=C(C(=O)C3(=O))C2=C31),13.748008900356009
S(C1=C(C2=C3NC=NC3=CC3=C2NC=N3)C=C2C=CC=C(C(=O)C3(=O))C2=C31),8.92879448816833
C1=CC2=C(S1)C=CS2(N1C2=C(C3=C1C(C)=CC=C3)C=CC=C2(C)),9.043860974776884
C1=CC2=C(S1)C=CS2(N1C2=C(C3=C1C(C)=CC=C3)C=CC=C2(C)),-1.0
C1=CC2=C(S1)C=CS2(N1C2=C(C3=C1C(C)=CC=C3)C=CC=C2(C)),-1.0
C1=CC2=C(S1)C=CS2(N1C2=C(C3=C1C(C)=CC=C3)C=CC=C2(C)),-1.0
C(S1(C2=CC(C)=CC(C)=C2))=CC=C1C=C(C#N)C#N,12.620419944184837
C(S1(C2=CC(C)=CC(C)=C2))=CC=C1C=C(C#N)C#N,-1.0
C1=C2OC=C(C3=C4NC=NC4=CC4=C3NC=N4)C2=CC2=C1C=CO2,10.12409181398473
C1=C2OC=C(C3=C4NC=NC4=CC4=C3NC=N4)C2=CC2=C1C=CO2,-1.0
