SMILES,ABCGG,AATSC3d,ATSC3d,GGI10,ATSC4i,BCUTp-1l,Kier3,AATS8p,Kier2,fr_NH0,VSA_EState3,Kappa3,Kappa2,PEOE_VSA6,BertzCT,EState_VSA3
CN(C)c1ccc(-c2cc(N(C)C)ccc2-c2cc(-c3cocn3)c3[nH]ccc(=O)c3c2)cc1,20.61774657,-0.026793893,-3.51,0.238651158,5.369957418,0.750646047,5.495844875,1.373516945,11.17090909,3,0.614436871,3.834791384,8.5553564,18.19910121,1515.147193,11.08015221
CN(C)c1ccc(-c2ccc(C(=O)c3cccn3C)cc2-c2c3ncoc3cc3ncoc23)cc1,22.54843055,-0.05835339,-7.119113573,0.275994286,-13.31161875,0.749842824,4.818823529,1.495118721,10.63659868,4,0,3.400564406,7.985739428,24.26546827,1655.068037,33.45682121
CN(C)c1ccc(-c2cc(N(C)CN3c4ccccc4Sc4ccccc43)ccc2-c2cc(N(C)C)ccc2-c2c(F)c(F)c(F)c(F)c2F)cc1,29.87820136,-0.030183999,-6.06698375,0.573921028,39.47210529,0.542225773,8.230314432,1.40679241,17.23904813,4,0,6.210577379,13.91569919,60.2928215,2233.983169,29.04643194
CN(C)c1ccc(P(c2ccccc2)c2ccccc2-c2cc3sccc3s2)cc1,18.87328415,-0.02996544,-3.386094675,0.135090297,4.616409895,1.043470366,4.715526843,1.569874314,9.868055556,1,6.369218632,3.695739947,8.353521058,66.73003775,1240.913698,0
CN(C)c1ccc(-n2c3ccccc3c3cnccc32)cc1N1c2ccccc2N(c2ccccc2)c2ccccc21,24.30886077,0.024584291,4.179329498,0.295078053,47.46340645,1.007775927,5.252083158,1.40463316,12.65432099,5,2.351394038,3.601807354,9.528065224,60.66367068,1992.761403,0
Cc1cc(C)c(B(c2ccc(N(C)C)cc2)c2c(C)cc(Cc3ncc(C#N)cn3)cc2C)c(C)c1,21.37225803,-0.056046595,-8.29489603,0.22681359,-24.45939409,0.961300611,6.966398831,1.144965743,12.90178571,4,9.025374718,5.185073531,10.37732632,80.60386965,1385.375679,11.98427311
CN(C)c1ccc(-c2cc(N(C)CN3CCOCC3)ccc2-c2c(C=O)ccc(C=O)c2-c2cc3sccc3s2)cc1,25.18447097,-0.015800517,-2.717688889,0.432917049,20.14326629,0.752725745,7.062019013,1.491153402,14.61349967,3,2.079338444,5.506045182,12.19234568,30.33183534,1704.610027,11.12690298
Cc1cccc(C)c1B1c2ccccc2B(c2c(C)cc(-c3cc(P(c4ccccc4)(c4ccccc4)(c4ccc(N(C)C)cc4)c4ccc(N(C)C)cc4)ccc3N(C)C)cc2C)c2ccccc21,39.73335856,0.011397322,3.715526843,1.233343536,-11.01841668,1.043184673,9.456609994,1.43931967,22.53061224,3,6.495023635,7.236604479,18.35708597,29.32600419,3179.324584,0
CC1(C)c2ccccc2Nc2ccc(-c3ccc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21,22.14488666,-0.115755054,-16.20570749,0.25181104,-11.96103983,0.752745402,4.916824197,1.618149247,11.11111111,2,22.69480642,3.523021711,8.449207953,62.37841095,1755.957891,22.27311204
CN(C)c1ccc(-c2cc(N(C)Cc3ccc4c(c3)c3ccccc3c3nc(C#N)c(C#N)nc43)ccc2-c2cc(N(C)C)ccc2-n2c3ccccc3c3ccccc32)cc1,33.06811343,-0.002405349,-0.591715976,0.688095092,8.057756806,0.958780831,8.955979086,1.505480262,19.91836735,8,25.83208324,6.288428631,15.11968445,90.99550603,3440.86087,17.57815784
CN(C)c1ccc(-c2cc(N(C)C)ccc2-c2cc(N(C)C)cc(N3c4ccccc4C(C)(C)c4ccccc43)c2N(c2ccc(F)cc2)c2ccc(F)cc2)cc1,34.02076597,0.041722861,10.59760678,1.150902969,26.87723499,0.54503689,9.189621184,1.548881208,18.99798066,5,0,6.805538409,15.05038374,68.44477802,2499.318394,0
