SMILES,ABCGG,AATSC3d,ATSC3d,GGI10,ATSC4i,BCUTp-1l,Kier3,AATS8p,Kier2,fr_NH0,VSA_EState3,Kappa3,Kappa2,PEOE_VSA6,BertzCT,EState_VSA3
Cn1cccc1-c1cccc2c1Nc1ccccc1O2,12.835115477240702,-0.074667637953014,-5.674740484429065,0.0,0.2218761458121965,0.7782561954453364,2.4934359438660025,1.2143014272869534,5.652892561983471,1,3.48625,1.5993565666175762,4.166575838374838,24.26546827384644,789.1890308466582,0.0
CN(Cc1ccc(P(=O)(c2ccccc2)c2cc(-c3ccc4ncoc4c3)cc(-c3ccc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)s3)c2)cc1)c1ccccc1,33.55802074587378,-0.0669676221040137,-14.398038752362954,0.5826058565452505,13.879865083933224,0.7503672978672911,9.414005486258477,1.7689581975329771,20.027845679668403,4,21.783278718663237,6.916771234076707,15.535218559254265,103.1282401638474,3098.1726257439414,50.31450827980406
CC1(C)c2ccccc2Nc2c(-c3ccc(C(=C4C(=O)c5ccccc5C4=C(C#N)C#N)c4ccc5c(c4)C(=O)NC5=O)s3)cccc21,29.314911539128666,-0.0892957351290684,-15.71604938271605,0.6535149474543415,-4.805110988617373,0.7507333622657865,5.997732426303855,1.6396165471929705,14.09467120181406,2,26.09610406561777,4.137297800085185,10.598978546808643,80.57751215245897,2450.271361756349,27.14060619886155
N#Cc1cc(C#N)c(-c2ncsc2C#Cc2c(F)c(F)cc(F)c2F)c(C#N)c1,19.13128132671076,-0.0625,-4.0,0.2309968370574431,20.31440307424609,0.5433210985345125,5.08680462241333,1.8298071454146336,10.543388429752063,4,27.779803690518463,3.512762524313055,7.82294948564371,5.920434318855644,1282.9921574465766,0.0
C#CC1NC(C(=C)c2cc(C#N)c(C#N)c(C#N)c2)COC1n1c2ccccc2c2cccnc21,20.98837680669624,-0.0762913227416857,-9.841580633677466,0.19273951637588,-21.85345753630636,0.7788395247327344,5.053853970097257,1.368518649927581,11.806760204081632,5,33.77618962982593,3.497938043788633,8.787934917451034,30.69847120783897,1582.1273029613649,11.136556021766264
Cc1cccc(C)c1B1c2ccccc2B(c2c(C)cc(Cn3cccc3-c3cc4cnccc4n3C3=CC(=O)NC3=O)cc2C)c2ccccc21,30.98255028808823,-0.0144428474467999,-2.9896694214875943,0.4587266605448423,-36.0665170726527,0.7511314596607945,6.925207756232687,1.2234998441797,15.74074074074074,3,3.2966943608721597,5.006342041056046,12.271123408218848,133.89339741927793,2558.096567663497,12.241795718968408
Cn1cnc2ccc(-c3cccc(-c4ccc5c(c4)sc4ncccc45)c3N3CCOCC3)cc21,20.69555918351389,-0.0665782433921939,-9.387532318299346,0.1430507091113151,-9.236369917874462,0.779280247159686,4.4958677685950414,1.4128237647925492,10.285,4,2.498397800512492,3.403849339094816,8.18498921706884,36.39820241076966,1710.9402577822605,0.0
O=C1C=CC(=O)c2c1cccc2-c1ccccc1,11.623160259642626,-0.0447845804988662,-2.821428571428573,0.0,-8.527165213692973,0.7519326562060382,2.52465483234714,0.8984158610449048,5.551020408163265,0,0.0,1.5889996868885483,4.075291319857314,48.53093654769288,666.7512454353458,11.126902983393991
CN(C)c1ccc(-c2ncoc2-c2ccc(C=O)cc2)cc1,13.956254240457696,-0.0909810411195452,-7.005540166204984,0.0660136720742781,-11.578339552218385,0.7507526873379216,3.925619834710744,1.307623558310963,7.7134986225895315,2,0.0,2.6310410452845625,5.854041258604361,36.39820241076966,771.6066593522758,11.323698910571435
CN(C)c1ccc(S(c2ccc(N(C)C)cc2)(c2ccc(N(C)C)cc2)c2cc3sccc3s2)cc1,22.472542174857963,-0.0480373623929723,-7.349716446124763,0.3590449954086316,25.967042802659627,1.0432086000466962,5.406462585034014,1.6394601155923332,11.623096811261131,3,2.19999149659864,4.27452403524958,9.8473722234198,0.0,1290.7246870972767,0.0
