SMILES,made_by
Cn1cccc1N1c2ccccc2C(C)(Cc2ccc(C(=O)C(F)(F)F)cc2-c2ccc3c(c2)[SiH2]c2ncccc2-3)c2cccc(-c3ccc(-c4cccnc4)cn3)c21,Random
c1cc(Pc2cccc(C3c4ccccc4-c4ccccc43)c2)cc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)c1,Random
O=c1cc(-c2c(F)c(F)cc(F)c2F)[nH]c2ccc(-c3c(-c4cc5c(cn4)-c4cnccc4[SiH2]5)cccc3-n3c4ccccc4c4ccccc43)cc12,Random
O=S1(=O)c2ccccc2-c2ccc(-c3cc4ccccc4c4ccccc34)cc21,Random
C=C[SH]1C=CC=C1c1cc(-c2ccc3[nH]c(N4c5ccccc5C(C)(C)c5ccccc54)cc(=O)c3c2)cs1,Random
c1ncc(-c2ccc3ncsc3c2)s1,Random
CC(=O)c1ccc(-c2ccc3c4c(c(-c5cc6ccccc6c6cc(-c7cc(N(C)C)cc8cc(-c9ccc%10nc(-c%11ccccc%11)oc%10c9)ccc78)ccc56)ccc24)C(=O)C3=O)cc1,Random
Cc1cc(Cn2c3ccccc3c3ccccc32)ccc1N(C)C,Random
C=Cc1ccsc1-c1cccs1,Random
c1ccc2c(c1)-c1ccccc1[SiH]2c1ccnc2sc3ccccc3c12,Random
c1cc(-c2cocn2)c2c(c1)oc1ncccc12,Random
CN(C)c1ccc(-c2cc(C#N)c(C#N)c(C#N)c2)cc1,Random
Cc1cccc2c1[nH]c1c(Cn3c4ccncc4c4cnccc43)cccc12,Random
c1ccc(N2CC(N(c3ccccc3)c3ccccc3)OCC2N2c3ccccc3Oc3ccccc32)cc1,Random
Cc1cc(C)c(B(CNc2cc(-c3ccc4c(c3)sc3ccccc34)cc(-n3c4ccccc4c4cnccc43)c2)c2c(C)cc(C)cc2C)c(C)c1,Random
CNc1ccc(-c2ccc3ncsc3c2)c(N2c3ccccc3N(c3ccccc3)c3c(-c4ccc(N5CCOCC5)cc4)cccc32)c1,Random
C#Cc1c2nc[nH]c2c(-c2cccc3c4ccccc4n(-n4c5ccc(C)cc5c5cc(C)ccc54)c23)c2[nH]cnc12,Random
N#CC(C#N)=C1C(=Cc2ccc(CC(=O)c3ccccc3)s2)C(=O)c2ccccc21,Random
CS(=O)(=O)c1ccccc1-c1ccc(C=C2C(=O)c3ccccc3C2=C(C#N)C#N)cc1,Random
N#CC(C#N)=C1C(=Cc2ccc(-c3cc(-c4ccc(C#N)c(C#N)c4C#N)cc4sc5ncccc5c34)cc2)C(=O)c2ccccc21,Random
Cn1cccc1-c1cc(C#N)c(C#N)c(C#N)c1-c1ccc(C(=O)C(F)(F)F)cc1N1c2ccccc2C(C)(C)c2ccccc21,Random
C=Cc1ccc2c(c1)N(c1ccccc1)c1ccccc1N2,Random
Cc1ccc(N(c2ccc(C)cc2)c2ccc(C=C(C#N)C#N)s2)cc1,Random
Cc1ccc(N(c2ccc(C)c(-c3ccc4ncoc4c3)c2)c2cccs2)cc1-c1ccc2c(c1)[SiH2]c1ncccc1-2,Random
Cc1ccc(N(c2ccc(C)cc2)c2cc3c(N(C)C)cccc3cc2-n2c3ccc(Cl)cc3c3cc(Cl)ccc32)cc1,Random
O=C1C=C(c2c(F)c(F)c(F)c(F)c2F)C(=O)N1,Random
CN(C)c1ccc(-c2cc(-c3ccc(-c4cccs4)s3)c3ncoc3c2)cc1-c1ccc(N2CCOCC2)cc1,Random
Cc1cccc(C)c1B1c2ccccc2B(c2c(C)cc(-c3ccc4c(=O)c5ccccc5[nH]c4c3)cc2C)c2ccccc21,Random
CC1(C)c2ccccc2N(c2nc(-c3cnc4oc5cc(-c6ccc7c(c6)oc6ncccc67)ccc5c4c3-c3c4ncoc4cc4ncoc34)ccc2-c2cccnc2)c2ccccc21,Random
CN(c1ccccc1)c1ccc2c(c1)Nc1cccc(-c3c(F)c(F)cc(F)c3F)c1S2,Random
N#CC(C#N)=Cc1ccc(-c2cccc(-c3c4[nH]cnc4cc4nc[nH]c34)c2Pc2ccccc2)s1,Random
O=Cc1ccc(C=O)c(-c2cc(N(c3ccccc3)c3ccccc3)cc(-c3cocn3)n2)c1,Random
O=S1(=O)c2cc(-c3ccc4c(c3)sc3ccccc34)ccc2-c2ccc(-c3cocn3)cc21,Random
Cc1ccc(N(c2ccc(C)cc2)c2cccc3c2c2ccccc2n3-c2ccccc2)cc1,Random
CN(C)c1ccc(-c2ccc3ncsc3c2)c(N2c3ccccc3Oc3ccccc32)c1-c1ccc(N2CCOCC2)cc1-c1cc2c(cn1)-c1cnccc1[SiH2]2,Random
