compoud name,CID,molecular formula,molecular weight,Canonical SMILES,SMILES
,,,,,Cn1cccc1N1c2ccccc2C(C)(Cc2ccc(C(=O)C(F)(F)F)cc2-c2ccc3c(c2)[SiH2]c2ncccc2-3)c2cccc(-c3ccc(-c4cccnc4)cn3)c21
,,,,,c1cc(Pc2cccc(C3c4ccccc4-c4ccccc43)c2)cc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)c1
,,,,,O=c1cc(-c2c(F)c(F)cc(F)c2F)[nH]c2ccc(-c3c(-c4cc5c(cn4)-c4cnccc4[SiH2]5)cccc3-n3c4ccccc4c4ccccc43)cc12
,,,,,O=S1(=O)c2ccccc2-c2ccc(-c3cc4ccccc4c4ccccc34)cc21
error,,,,,C=C[SH]1C=CC=C1c1cc(-c2ccc3[nH]c(N4c5ccccc5C(C)(C)c5ccccc54)cc(=O)c3c2)cs1
,,,,,c1ncc(-c2ccc3ncsc3c2)s1
,,,,,CC(=O)c1ccc(-c2ccc3c4c(c(-c5cc6ccccc6c6cc(-c7cc(N(C)C)cc8cc(-c9ccc%10nc(-c%11ccccc%11)oc%10c9)ccc78)ccc56)ccc24)C(=O)C3=O)cc1
,,,,,Cc1cc(Cn2c3ccccc3c3ccccc32)ccc1N(C)C
3-ethenyl-2-thiophen-2-ylthiophene,54406345.0,C10H8S2,192.3,C=CC1=C(SC=C1)C2=CC=CS2,C=Cc1ccsc1-c1cccs1
,,,,,c1ccc2c(c1)-c1ccccc1[SiH]2c1ccnc2sc3ccccc3c12
,,,,,c1cc(-c2cocn2)c2c(c1)oc1ncccc12
,,,,,CN(C)c1ccc(-c2cc(C#N)c(C#N)c(C#N)c2)cc1
,,,,,Cc1cccc2c1[nH]c1c(Cn3c4ccncc4c4cnccc43)cccc12
,,,,,c1ccc(N2CC(N(c3ccccc3)c3ccccc3)OCC2N2c3ccccc3Oc3ccccc32)cc1
,,,,,Cc1cc(C)c(B(CNc2cc(-c3ccc4c(c3)sc3ccccc34)cc(-n3c4ccccc4c4cnccc43)c2)c2c(C)cc(C)cc2C)c(C)c1
,,,,,CNc1ccc(-c2ccc3ncsc3c2)c(N2c3ccccc3N(c3ccccc3)c3c(-c4ccc(N5CCOCC5)cc4)cccc32)c1
,,,,,C#Cc1c2nc[nH]c2c(-c2cccc3c4ccccc4n(-n4c5ccc(C)cc5c5cc(C)ccc54)c23)c2[nH]cnc12
,,,,,N#CC(C#N)=C1C(=Cc2ccc(CC(=O)c3ccccc3)s2)C(=O)c2ccccc21
,,,,,CS(=O)(=O)c1ccccc1-c1ccc(C=C2C(=O)c3ccccc3C2=C(C#N)C#N)cc1
,,,,,N#CC(C#N)=C1C(=Cc2ccc(-c3cc(-c4ccc(C#N)c(C#N)c4C#N)cc4sc5ncccc5c34)cc2)C(=O)c2ccccc21
,,,,,Cn1cccc1-c1cc(C#N)c(C#N)c(C#N)c1-c1ccc(C(=O)C(F)(F)F)cc1N1c2ccccc2C(C)(C)c2ccccc21
,,,,,C=Cc1ccc2c(c1)N(c1ccccc1)c1ccccc1N2
,,,,,Cc1ccc(N(c2ccc(C)cc2)c2ccc(C=C(C#N)C#N)s2)cc1
,,,,,Cc1ccc(N(c2ccc(C)c(-c3ccc4ncoc4c3)c2)c2cccs2)cc1-c1ccc2c(c1)[SiH2]c1ncccc1-2
,,,,,Cc1ccc(N(c2ccc(C)cc2)c2cc3c(N(C)C)cccc3cc2-n2c3ccc(Cl)cc3c3cc(Cl)ccc32)cc1
"3-(2,3,4,5,6-pentafluorophenyl)pyrrole-2,5-dione",18188376.0,C10H2F5NO2,263.12,C1=C(C(=O)NC1=O)C2=C(C(=C(C(=C2F)F)F)F)F,O=C1C=C(c2c(F)c(F)c(F)c(F)c2F)C(=O)N1
,,,,,CN(C)c1ccc(-c2cc(-c3ccc(-c4cccs4)s3)c3ncoc3c2)cc1-c1ccc(N2CCOCC2)cc1
,,,,,Cc1cccc(C)c1B1c2ccccc2B(c2c(C)cc(-c3ccc4c(=O)c5ccccc5[nH]c4c3)cc2C)c2ccccc21
,,,,,CC1(C)c2ccccc2N(c2nc(-c3cnc4oc5cc(-c6ccc7c(c6)oc6ncccc67)ccc5c4c3-c3c4ncoc4cc4ncoc34)ccc2-c2cccnc2)c2ccccc21
,,,,,CN(c1ccccc1)c1ccc2c(c1)Nc1cccc(-c3c(F)c(F)cc(F)c3F)c1S2
,,,,,N#CC(C#N)=Cc1ccc(-c2cccc(-c3c4[nH]cnc4cc4nc[nH]c34)c2Pc2ccccc2)s1
,,,,,O=Cc1ccc(C=O)c(-c2cc(N(c3ccccc3)c3ccccc3)cc(-c3cocn3)n2)c1
,,,,,O=S1(=O)c2cc(-c3ccc4c(c3)sc3ccccc34)ccc2-c2ccc(-c3cocn3)cc21
"N,N-bis(4-methylphenyl)-9-phenylcarbazol-4-amine",117623344.0,C32H26N2,438.6,CC1=CC=C(C=C1)N(C2=CC=C(C=C2)C)C3=CC=CC4=C3C5=CC=CC=C5N4C6=CC=CC=C6,Cc1ccc(N(c2ccc(C)cc2)c2cccc3c2c2ccccc2n3-c2ccccc2)cc1
,,,,,CN(C)c1ccc(-c2ccc3ncsc3c2)c(N2c3ccccc3Oc3ccccc32)c1-c1ccc(N2CCOCC2)cc1-c1cc2c(cn1)-c1cnccc1[SiH2]2
,,,,,c1ccc(Nc2cccc(-c3ccco3)c2)cc1
,,,,,c1ccc(-n2c3ccccc3c3cc(-c4ccc(-n5c6ccccc6c6ccccc65)c(-n5c6ccccc6c6cccnc65)c4)ccc32)cc1
,,,,,N#CC(C#N)=Cc1cc(-c2c(C#N)cc(C#N)cc2C#N)c(CNCc2ccc(C=O)cc2)s1
,,,,,c1cc(-c2cc3sccc3s2)c2c(c1)sc1ncccc12
,,,,,Cn1cnc2cc(-c3cnoc3)ccc21
,,,,,COc1cc(OC)c(-c2c(S)cc3c4c(c(O)ccc24)-c2nc4cc(C#N)c(C#N)cc4nc2-3)c(OC)c1
,,,,,Cc1cccc2c3cccc(C)c3n(-c3cc(-c4ccc5c(c4)sc4nc(-c6ccc7c(c6)C(=O)c6ccccc6C7=C(C#N)C#N)c(C6=CC(=O)NC6=O)cc45)ccc3Nc3ccccc3)c12
,,,,,c1ccc(Pc2ccccc2N2c3ccccc3Sc3ccccc32)cc1
,,,,,Cc1ccc2c(c1)c1cc(C)ccc1n2-c1cc(F)cc(-c2ccccn2)c1N(c1ccc(F)cc1)c1cccc(C2=CC(=O)NC2=O)c1
,,,,,C=CCc1cc(C)cc(C)c1Bc1c(C)cc(C)c(-n2c3ccc(C)cc3c3cc(C)ccc32)c1C
,,,,,CNCc1c2ncoc2cc2ncoc12
,,,,,c1ccc(-c2cccc(-c3cccs3)c2-n2c3ccccc3c3ccccc32)cc1
,,,,,O=Cc1ccc(C=O)c(-c2ncccc2-c2cccnc2)c1
,,,,,COc1cc(OC)cc(-c2cc(N(c3ccccc3)c3ccccc3)c3c(ccc4ccccc43)c2)c1
,,,,,CN(C)c1cc(-c2c(-c3c(C#N)cc(C#N)cc3C#N)ccc3[nH]cc(-n4c5ccc(F)cc5c5cc(F)ccc54)c(=O)c23)c2ccccc2c1
,,,,,O=C1C=C(c2cc3c(cn2)-c2cnc(-n4c5ccc(F)cc5c5cc(F)ccc54)cc2[SiH2]3)C(=O)c2cc(-c3ccco3)ccc21
,,,,,c1ccc2c(c1)-c1ccccc1[SiH]2c1ccsc1-c1ccc2c(c1)[SiH2]c1ncccc1-2
,,,,,O=C1NC(=O)C(c2ccc3ncsc3c2)=C1C1=CC(=O)N(c2ccc3c(c2)S(=O)(=O)c2ccccc2-3)C1=O
,,,,,Cc1ccc(N(Cn2ccc(C3=CC(=O)C=C(C4=CC(=O)C=CC4=O)C3=O)c2)c2ccc(C)cc2)cc1
