source,AI+AI2,AI+Human,AI+Random,AI2+Human,AI2+Random,Random+Human
target,Yield_CA,Yield_CA,Yield_CA,Yield_CA,Yield_CA,Yield_CA
run0,-0.21372556686401367,0.012386023998260498,0.03257453441619873,0.2886527180671692,-0.11687767505645752,0.045717477798461914
run1,0.46683359146118164,0.6641948223114014,0.4362068176269531,0.7250237464904785,0.5626026391983032,0.5537590980529785
run2,0.37389254570007324,0.3710253834724426,0.4161795973777771,0.3639121651649475,0.31306540966033936,0.2629031538963318
run3,0.16478532552719116,0.14162981510162354,-0.01134192943572998,0.30459463596343994,0.2995097041130066,0.3724534511566162
run4,0.1108664870262146,0.1507999300956726,0.3037429451942444,0.4498162269592285,0.11023604869842529,0.23304086923599243
run5,0.5064538717269897,0.43862730264663696,0.447868287563324,0.5277611017227173,0.42890244722366333,0.49883079528808594
run6,0.23635679483413696,0.1585162878036499,0.13715481758117676,0.2646070122718811,0.30361491441726685,0.1263660192489624
run7,0.44591134786605835,0.5555996894836426,0.4099157452583313,0.6338657140731812,0.5571178793907166,0.5353154540061951
run8,0.23722326755523682,0.22230088710784912,0.13113164901733398,0.37565475702285767,0.26654505729675293,0.2208043932914734
run9,0.28425133228302,0.2928426265716553,0.25126850605010986,0.32549571990966797,0.2644335627555847,0.11437493562698364
r2_test_mean,0.2612848997116089,0.30079227685928345,0.2554700970649719,0.4259383797645569,0.29891499876976013,0.2963565647602081
r2_test_max,0.5064538717269897,0.6641948223114014,0.447868287563324,0.7250237464904785,0.5626026391983032,0.5537590980529785
r2_test_min,-0.21372556686401367,0.012386023998260498,-0.01134192943572998,0.2646070122718811,-0.11687767505645752,0.045717477798461914
r2_test_std,0.20209555572576468,0.1945236549739005,0.16493677370220214,0.14821866966499836,0.19079816282903306,0.1748754283689651
